,Unnamed: 0,Year,Category,Country,Medals
0,0,beijing-2022,Curling,Italy,2
1,1,beijing-2022,Curling,Norway,2
2,2,beijing-2022,Curling,Sweden,4
3,3,beijing-2022,Curling,Great Britain,2
4,4,beijing-2022,Curling,Japan,1
5,5,beijing-2022,Curling,Canada,1
6,6,beijing-2022,Freestyle Skiing,Canada,5
7,7,beijing-2022,Freestyle Skiing,Sweden,4
8,8,beijing-2022,Freestyle Skiing,Japan,1
9,9,beijing-2022,Freestyle Skiing,New Zealand,1
10,10,beijing-2022,Freestyle Skiing,United States of America,8
11,11,beijing-2022,Freestyle Skiing,Norway,1
12,12,beijing-2022,Freestyle Skiing,ROC,3
13,13,beijing-2022,Freestyle Skiing,Switzerland,4
14,14,beijing-2022,Freestyle Skiing,People's Republic of China,6
15,15,beijing-2022,Freestyle Skiing,France,1
16,16,beijing-2022,Freestyle Skiing,Australia,1
17,17,beijing-2022,Freestyle Skiing,Germany,1
18,18,beijing-2022,Freestyle Skiing,Ukraine,1
19,19,beijing-2022,Freestyle Skiing,Belarus,1
20,20,beijing-2022,Freestyle Skiing,Estonia,1
21,21,beijing-2022,Short Track Speed Skating,Netherlands,4
22,22,beijing-2022,Short Track Speed Skating,Canada,4
23,23,beijing-2022,Short Track Speed Skating,Italy,4
24,24,beijing-2022,Short Track Speed Skating,Hungary,3
25,25,beijing-2022,Short Track Speed Skating,ROC,2
26,26,beijing-2022,Short Track Speed Skating,Republic of Korea,5
27,27,beijing-2022,Short Track Speed Skating,People's Republic of China,4
28,28,beijing-2022,Short Track Speed Skating,Belgium,1
29,29,beijing-2022,Snowboard,Spain,1
30,30,beijing-2022,Snowboard,Japan,3
31,31,beijing-2022,Snowboard,United States of America,5
32,32,beijing-2022,Snowboard,Italy,3
33,33,beijing-2022,Snowboard,Canada,7
34,34,beijing-2022,Snowboard,France,1
35,35,beijing-2022,Snowboard,Slovenia,2
36,36,beijing-2022,Snowboard,Austria,4
37,37,beijing-2022,Snowboard,ROC,1
38,38,beijing-2022,Snowboard,New Zealand,2
39,39,beijing-2022,Snowboard,People's Republic of China,2
40,40,beijing-2022,Snowboard,Switzerland,1
41,41,beijing-2022,Snowboard,Australia,2
42,42,beijing-2022,Snowboard,Czech Republic,1
43,43,beijing-2022,Snowboard,Norway,1
44,44,beijing-2022,Ski Jumping,Austria,2
45,45,beijing-2022,Ski Jumping,Slovenia,4
46,46,beijing-2022,Ski Jumping,Germany,3
47,47,beijing-2022,Ski Jumping,Norway,1
48,48,beijing-2022,Ski Jumping,Japan,2
49,49,beijing-2022,Ski Jumping,ROC,1
50,50,beijing-2022,Ski Jumping,Canada,1
51,51,beijing-2022,Ski Jumping,Poland,1
52,52,beijing-2022,Figure skating,ROC,10
53,53,beijing-2022,Figure skating,United States of America,4
54,54,beijing-2022,Figure skating,Japan,4
55,55,beijing-2022,Figure skating,People's Republic of China,2
56,56,beijing-2022,Figure skating,France,2
57,57,beijing-2022,Luge,Germany,8
58,58,beijing-2022,Luge,Austria,4
59,59,beijing-2022,Luge,Latvia,1
60,60,beijing-2022,Luge,Italy,1
61,61,beijing-2022,Luge,ROC,1
62,62,beijing-2022,Ice Hockey,Finland,2
63,63,beijing-2022,Ice Hockey,ROC,1
64,64,beijing-2022,Ice Hockey,Slovakia,1
65,65,beijing-2022,Ice Hockey,Canada,1
66,66,beijing-2022,Ice Hockey,United States of America,1
67,67,beijing-2022,Biathlon,France,7
68,68,beijing-2022,Biathlon,Norway,14
69,69,beijing-2022,Biathlon,ROC,4
70,70,beijing-2022,Biathlon,Sweden,4
71,71,beijing-2022,Biathlon,Italy,1
72,72,beijing-2022,Biathlon,Germany,2
73,73,beijing-2022,Biathlon,Belarus,1
74,74,beijing-2022,Alpine Skiing,France,3
75,75,beijing-2022,Alpine Skiing,Austria,7
76,76,beijing-2022,Alpine Skiing,Norway,4
77,77,beijing-2022,Alpine Skiing,Switzerland,9
78,78,beijing-2022,Alpine Skiing,United States of America,1
79,79,beijing-2022,Alpine Skiing,Italy,4
80,80,beijing-2022,Alpine Skiing,Germany,1
81,81,beijing-2022,Alpine Skiing,Canada,1
82,82,beijing-2022,Alpine Skiing,Slovenia,1
83,83,beijing-2022,Alpine Skiing,Sweden,1
84,84,beijing-2022,Alpine Skiing,Slovakia,1
85,85,beijing-2022,Skeleton,Australia,1
86,86,beijing-2022,Skeleton,Germany,3
87,87,beijing-2022,Skeleton,Netherlands,1
88,88,beijing-2022,Skeleton,People's Republic of China,1
89,89,beijing-2022,Cross Country Skiing,Sweden,5
90,90,beijing-2022,Cross Country Skiing,United States of America,2
91,91,beijing-2022,Cross Country Skiing,Germany,3
92,92,beijing-2022,Cross Country Skiing,ROC,13
93,93,beijing-2022,Cross Country Skiing,Norway,9
94,94,beijing-2022,Cross Country Skiing,Finland,7
95,95,beijing-2022,Cross Country Skiing,France,1
96,96,beijing-2022,Cross Country Skiing,Austria,1
97,97,beijing-2022,Cross Country Skiing,Italy,1
98,98,beijing-2022,Speed skating,Republic of Korea,4
99,99,beijing-2022,Speed skating,Netherlands,12
100,100,beijing-2022,Speed skating,Japan,5
101,101,beijing-2022,Speed skating,United States of America,3
102,102,beijing-2022,Speed skating,Canada,5
103,103,beijing-2022,Speed skating,Norway,3
104,104,beijing-2022,Speed skating,Italy,3
105,105,beijing-2022,Speed skating,Sweden,2
106,106,beijing-2022,Speed skating,Czech Republic,1
107,107,beijing-2022,Speed skating,Belgium,1
108,108,beijing-2022,Speed skating,ROC,2
109,109,beijing-2022,Speed skating,People's Republic of China,1
110,110,beijing-2022,Nordic Combined,Norway,4
111,111,beijing-2022,Nordic Combined,Germany,2
112,112,beijing-2022,Nordic Combined,Austria,1
113,113,beijing-2022,Nordic Combined,Japan,2
114,114,beijing-2022,Bobsleigh,Germany,12
115,115,beijing-2022,Bobsleigh,Canada,2
116,116,beijing-2022,Bobsleigh,United States of America,4
